timestamp,x,y,yaw
0.000000,0.000247,-0.002172,0.000029
0.100000,0.001758,0.001839,0.000029
0.200000,-0.006143,-0.014296,0.000029
0.300000,0.000392,-0.018742,-0.000000
0.400000,-0.008561,-0.007150,0.000269
0.500000,-0.007179,-0.003639,0.000029
0.600000,0.006559,-0.000646,0.000029
0.700000,0.063105,-0.001936,-0.005709
0.800000,0.152001,0.003729,-0.023225
0.900000,0.343746,-0.002017,-0.047562
1.000000,0.562562,-0.041496,-0.075876
1.100000,0.672996,-0.027026,-0.097543
1.200000,0.769549,-0.050397,-0.110583
1.300000,0.898404,-0.048572,-0.131226
1.400000,1.128800,-0.088022,-0.161662
1.500000,1.207500,-0.076186,-0.186230
1.600000,1.336400,-0.123957,-0.189906
1.700000,1.429180,-0.139566,-0.192455
1.800000,1.736610,-0.207134,-0.158628
1.900000,1.857270,-0.201351,-0.146806
2.000000,1.988110,-0.222289,-0.129254
2.100000,2.194830,-0.244608,-0.100947
2.200000,2.288970,-0.242050,-0.087606
2.300000,2.393700,-0.263069,-0.066780
2.400000,2.512490,-0.285651,-0.066764
2.500000,2.735140,-0.280473,-0.063885
2.600000,2.841100,-0.318880,-0.059119
2.700000,3.037660,-0.308853,-0.068854
2.800000,3.270050,-0.328527,-0.070084
2.900000,3.400040,-0.355012,-0.064039
3.000000,3.499040,-0.338192,-0.068784
3.100000,3.602670,-0.357092,-0.071050
3.200000,3.833490,-0.374859,-0.077763
3.300000,3.892710,-0.367174,-0.076964
3.400000,4.025270,-0.393560,-0.069253
3.500000,4.128060,-0.384904,-0.083971
3.600000,4.442220,-0.413889,-0.090960
3.700000,4.555680,-0.436397,-0.084513
3.800000,4.661600,-0.439690,-0.091116
3.900000,4.867780,-0.460612,-0.102478
4.000000,4.994730,-0.454218,-0.099155
4.100000,5.113790,-0.483436,-0.102129
4.200000,5.209420,-0.490325,-0.100628
4.300000,5.434150,-0.523482,-0.104372
4.400000,5.523300,-0.524460,-0.109774
4.500000,5.740720,-0.549728,-0.112978
4.600000,5.965320,-0.572496,-0.122636
4.700000,6.078240,-0.576165,-0.131099
4.800000,6.168040,-0.591220,-0.129545
4.900000,6.287140,-0.588063,-0.129158
5.000000,6.503930,-0.630187,-0.133995
5.100000,6.586360,-0.635270,-0.140925
