frame_index,timestamp,landmark_id,u,v
0,1670403902.235281229,0,279.496585,257.648731
0,1670403902.235281229,1,290.000000,255.000000
0,1670403902.235281229,2,309.962349,257.265862
0,1670403902.235281229,3,320.000000,255.000000
0,1670403902.235281229,4,339.705556,256.892073
0,1670403902.235281229,5,350.000000,255.000000
0,1670403902.235281229,6,261.002436,267.099713
0,1670403902.235281229,7,272.000000,264.000000
0,1670403902.235281229,8,310.080737,266.306008
0,1670403902.235281229,9,320.000000,264.000000
0,1670403902.235281229,10,357.310623,265.542195
0,1670403902.235281229,11,368.000000,264.000000
1,1670403902.337636471,0,284.190468,256.346136
1,1670403902.337636471,1,294.581804,253.782928
1,1670403902.337636471,2,314.416357,256.171959
1,1670403902.337636471,3,324.454976,253.974386
1,1670403902.337636471,4,344.242206,256.000087
1,1670403902.337636471,5,354.648104,254.167896
1,1670403902.337636471,6,265.933752,265.571055
1,1670403902.337636471,7,276.746180,262.590516
1,1670403902.337636471,8,314.476841,265.194147
1,1670403902.337636471,9,324.399036,262.971977
1,1670403902.337636471,10,361.996314,264.825187
1,1670403902.337636471,11,372.871279,263.359997
2,1670403902.437954426,0,290.000000,255.000000
2,1670403902.437954426,1,300.272573,252.509885
2,1670403902.437954426,2,320.000000,255.000000
2,1670403902.437954426,3,330.058261,252.857137
2,1670403902.437954426,4,350.000000,255.000000
2,1670403902.437954426,5,360.567641,253.212827
2,1670403902.437954426,6,272.000000,264.000000
2,1670403902.437954426,7,282.606976,261.130587
2,1670403902.437954426,8,320.000000,264.000000
2,1670403902.437954426,9,329.944069,261.852036
2,1670403902.437954426,10,368.000000,264.000000
2,1670403902.437954426,11,379.135652,262.601749
