timestamp,x,y,yaw
0.000000,0.697411,-0.094649,-1.445860
0.100000,0.679250,-0.069866,-1.926040
0.200000,0.670819,-0.036446,-2.453410
0.300000,0.656165,0.081273,2.779680
0.400000,0.685387,0.112968,2.273070
0.500000,0.703978,0.128525,1.738270
0.600000,0.751426,0.167579,1.231730
0.700000,0.702575,0.098787,0.145938
0.800000,1.715200,-0.010566,-0.110296
0.900000,3.717640,-0.301622,-0.154024
1.000000,5.742710,-0.306056,0.019622
1.100000,6.760010,-0.295062,0.008585
1.200000,7.794280,-0.264683,0.014069
1.300000,8.744240,-0.320146,-0.340804
1.400000,9.777910,-1.355690,-0.750569
1.500000,10.561800,-2.026040,-0.712024
1.600000,11.302100,-2.682890,-0.698271
1.700000,11.439100,-2.826650,-1.153950
1.800000,12.521200,-5.643310,-1.285290
1.900000,12.768600,-6.583860,-1.357890
2.000000,12.985100,-7.605150,-1.412670
2.100000,13.230600,-9.516980,-1.500790
2.200000,13.245300,-10.519900,-1.615790
2.300000,13.212000,-11.523600,-1.664640
2.400000,13.121700,-12.501400,-1.674420
2.500000,12.987200,-14.501500,-1.663990
2.600000,12.884800,-15.505900,-1.666180
2.700000,12.725300,-17.475700,-1.678480
2.800000,12.489100,-18.801900,-2.082180
2.900000,12.453000,-18.778700,-2.591050
3.000000,12.493000,-18.733100,-3.131400
3.100000,12.481600,-18.723900,2.827740
3.200000,12.494500,-18.659100,2.287130
3.300000,12.458100,-18.723200,2.811060
3.400000,11.823600,-18.807900,-2.948080
3.500000,10.867900,-18.905500,-3.060680
3.600000,7.924000,-18.797500,3.052040
3.700000,6.903250,-18.620500,2.935690
3.800000,6.307380,-18.508100,-2.975120
3.900000,4.418640,-18.777900,3.170120
4.000000,3.403720,-18.770900,3.074200
4.100000,2.436410,-18.814400,-3.077740
4.200000,1.447470,-18.869800,3.147300
4.300000,-0.579864,-18.789600,-3.067310
4.400000,-1.579230,-18.785400,3.078200
4.500000,-3.610120,-18.729100,3.188760
4.600000,-5.085900,-18.786800,2.772850
4.700000,-5.084320,-18.696200,2.281410
4.800000,-5.077270,-18.672700,1.777480
4.900000,-5.147280,-17.693700,1.772170
5.000000,-5.638320,-15.725800,1.921750
5.100000,-5.946680,-14.828600,1.650210
5.200000,-6.019270,-13.815800,1.700210
5.300000,-6.196680,-12.841300,1.780520
5.400000,-6.042360,-10.320400,1.582600
5.500000,-6.062620,-9.363240,1.586770
5.600000,-6.106730,-8.333530,1.618540
5.700000,-6.270040,-6.289090,1.626370
5.800000,-6.255100,-5.277620,1.590330
5.900000,-6.244090,-4.263070,1.554710
6.000000,-6.257110,-3.253170,1.672320
6.100000,-6.509580,-1.211870,1.709720
6.200000,-6.506080,-0.196535,1.618570
6.300000,-6.427330,-0.136947,0.661021
6.400000,-5.438150,-0.120241,0.034732
6.500000,-4.424760,-0.061986,0.088271
6.600000,-3.374970,0.069093,0.073796
6.700000,-2.364560,0.203395,0.087113
6.800000,-0.484940,0.421215,0.049407
6.900000,-0.303701,0.463909,0.506047
7.000000,-0.238716,0.498272,1.051570
7.100000,-0.253829,0.521968,1.584640
7.200000,-0.354318,0.395850,-3.042640
7.300000,-0.305859,0.375838,-2.501830
7.400000,-0.276410,0.334912,-1.954150
7.500000,-0.234172,0.360484,-0.855973
7.600000,-0.285977,0.396219,-0.312985
7.700000,0.685667,0.499562,0.062044
7.800000,1.633200,0.565035,0.055273
7.900000,3.642380,0.564158,-0.032353
8.000000,4.673960,0.532924,-0.061670
8.100000,6.653150,0.465989,0.004169
8.200000,8.254780,0.310245,-0.462976
8.300000,9.068100,-0.194157,-0.678174
8.400000,9.800590,-0.827789,-0.880977
8.500000,10.382800,-1.612190,-1.046910
8.600000,11.351300,-3.387100,-1.088560
8.700000,11.820500,-4.286600,-1.148720
8.800000,12.180200,-5.267690,-1.177980
8.900000,12.559700,-6.212120,-1.254640
9.000000,13.263400,-9.098520,-1.478940
9.100000,13.348700,-10.082400,-1.520570
9.200000,13.378400,-11.123100,-1.537210
9.300000,13.270800,-13.087800,-1.732430
9.400000,13.126800,-14.096800,-1.699710
9.500000,12.995700,-15.086100,-1.704430
9.600000,12.905300,-16.098000,-1.688880
9.700000,12.577800,-18.063800,-1.770710
9.800000,12.387100,-18.849600,-2.157010
9.900000,11.313100,-18.838400,-3.096960
10.000000,9.408770,-18.963600,-2.991320
10.100000,8.421650,-19.081800,-3.021210
10.200000,7.452230,-19.189500,-2.997260
10.300000,6.464090,-19.257500,3.024380
10.400000,5.561320,-19.192300,2.872180
10.500000,4.613400,-18.878200,2.931870
10.600000,3.790070,-18.722500,-3.088520
10.700000,2.852810,-18.880200,-2.923100
10.800000,-0.130675,-19.059000,3.184660
10.900000,-1.118340,-19.110600,-3.027110
11.000000,-2.118110,-19.192400,3.154950
11.100000,-3.654580,-19.218100,3.210120
11.200000,-3.643740,-19.200000,2.688070
11.300000,-4.363490,-18.517100,2.426620
11.400000,-5.048380,-17.834600,2.365730
11.500000,-5.470370,-16.695700,1.890510
11.600000,-5.800290,-15.739400,1.984360
11.700000,-6.015210,-14.109400,1.692400
11.800000,-6.295980,-12.124400,1.694890
11.900000,-6.263770,-11.076700,1.533250
12.000000,-6.241160,-10.067700,1.626070
12.100000,-6.250910,-9.091750,1.566080
12.200000,-6.547270,-7.081980,1.649110
12.300000,-6.670590,-6.057240,1.808880
12.400000,-6.771960,-5.101200,1.661910
12.500000,-6.808750,-4.085140,1.613220
12.600000,-6.752760,-0.993913,1.638540
12.700000,-6.809870,0.008128,1.676460
12.800000,-6.764030,0.063111,1.259600
12.900000,-6.677690,0.034347,0.215886
13.000000,-5.709520,0.134435,0.141538
13.100000,-4.681480,0.249759,0.074920
13.200000,-3.639100,0.311981,0.073413
13.300000,-1.634060,0.137663,-0.100317
13.400000,-0.738965,0.059540,-0.022259
13.500000,1.251540,-0.007739,-0.049862
13.600000,3.271280,0.171917,0.056806
13.700000,4.325770,0.203304,0.095973
13.800000,5.260690,0.304916,0.471915
13.900000,5.237370,0.341570,0.968036
14.000000,5.027200,1.327040,1.779220
14.100000,4.785550,2.318610,1.810780
14.200000,4.532530,3.315130,1.884940
14.300000,4.297710,3.898810,2.382740
14.400000,4.277680,3.741460,-2.241790
14.500000,4.328430,3.730230,-1.698530
14.600000,4.393150,3.742480,-1.132470
14.700000,4.472070,3.806590,-0.071267
14.800000,4.466070,3.829440,0.210668
14.900000,4.465430,3.782010,-0.313159
